,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
9400,Afghanistan,,2020-08-01,2,1,0,0,1,2,0,1,0,0,1,3
9401,Afghanistan,,2020-08-02,1,1,0,3,0,0,1,2,1,1,1,0
9402,Afghanistan,,2020-08-03,0,2,0,3,1,1,0,3,1,0,1,0
9403,Afghanistan,,2020-08-04,2,1,1,3,1,0,0,1,1,1,0,3
9404,Afghanistan,,2020-08-05,1,2,0,1,0,1,0,3,1,2,0,3
9405,Albania,,2020-08-01,1,2,0,1,1,0,1,2,1,0,0,2
9406,Albania,,2020-08-02,0,1,1,0,0,0,0,0,1,0,0,1
9407,Albania,,2020-08-03,2,2,1,1,0,0,1,3,0,0,0,0
9408,Albania,,2020-08-04,2,0,0,2,1,0,0,1,0,0,1,3
9409,Albania,,2020-08-05,2,0,0,1,1,1,0,1,0,2,0,0
9410,Algeria,,2020-08-01,1,2,0,1,1,2,1,3,1,2,1,3
9411,Algeria,,2020-08-02,2,2,0,1,1,2,1,3,1,0,1,0
9412,Algeria,,2020-08-03,2,0,1,3,1,0,1,2,1,1,0,1
9413,Algeria,,2020-08-04,0,2,1,1,0,2,0,0,0,1,1,3
9414,Algeria,,2020-08-05,2,1,0,2,0,2,1,0,0,0,1,1
9415,Andorra,,2020-08-01,2,2,1,1,1,2,1,3,0,1,0,2
9416,Andorra,,2020-08-02,1,0,0,3,1,0,0,3,1,0,0,2
9417,Andorra,,2020-08-03,1,0,1,3,0,1,1,1,0,2,1,1
9418,Andorra,,2020-08-04,1,0,0,3,1,2,1,2,1,1,0,2
9419,Andorra,,2020-08-05,0,1,0,2,0,2,1,2,0,0,1,1
9420,Angola,,2020-08-01,0,1,1,3,0,0,1,0,1,1,0,3
9421,Angola,,2020-08-02,0,0,1,1,0,1,1,2,0,0,1,3
9422,Angola,,2020-08-03,2,1,0,1,1,0,1,1,0,1,1,1
9423,Angola,,2020-08-04,0,0,1,2,0,0,0,1,1,0,1,1
9424,Angola,,2020-08-05,0,0,1,0,1,0,0,3,1,0,1,0
9425,Argentina,,2020-08-01,2,1,1,3,1,2,1,1,1,2,1,0
9426,Argentina,,2020-08-02,2,0,0,2,1,2,0,2,0,0,0,3
9427,Argentina,,2020-08-03,2,0,1,2,0,1,0,3,1,1,1,1
9428,Argentina,,2020-08-04,0,1,1,1,1,0,0,2,0,2,1,0
9429,Argentina,,2020-08-05,1,2,1,3,1,0,0,0,1,0,1,0
9430,Aruba,,2020-08-01,0,1,1,1,0,2,1,1,1,2,0,3
9431,Aruba,,2020-08-02,0,0,1,2,1,0,0,2,1,1,1,1
9432,Aruba,,2020-08-03,1,2,0,3,1,1,0,0,0,1,1,1
9433,Aruba,,2020-08-04,1,1,1,0,1,1,1,1,1,0,0,0
9434,Aruba,,2020-08-05,2,0,1,3,0,0,0,1,1,1,1,3
9435,Australia,,2020-08-01,0,1,1,0,0,2,0,0,0,1,0,0
9436,Australia,,2020-08-02,0,2,0,2,1,2,1,0,0,1,0,3
9437,Australia,,2020-08-03,0,0,1,1,0,1,1,1,0,2,0,0
9438,Australia,,2020-08-04,1,1,1,1,0,2,1,3,0,0,0,0
9439,Australia,,2020-08-05,0,1,0,2,0,2,1,0,1,1,1,2
9440,Austria,,2020-08-01,0,1,1,0,1,0,1,2,1,2,0,1
9441,Austria,,2020-08-02,2,1,1,3,1,0,1,2,0,2,0,1
9442,Austria,,2020-08-03,1,1,1,3,0,0,1,3,0,0,1,3
9443,Austria,,2020-08-04,2,2,1,1,1,2,1,0,1,2,0,2
9444,Austria,,2020-08-05,2,2,0,3,0,0,1,3,1,1,1,2
9445,Azerbaijan,,2020-08-01,1,0,1,1,1,0,1,1,1,1,1,0
9446,Azerbaijan,,2020-08-02,2,2,1,0,1,2,1,3,0,2,1,0
9447,Azerbaijan,,2020-08-03,1,1,0,2,1,2,0,0,1,1,1,3
9448,Azerbaijan,,2020-08-04,1,2,0,1,1,2,1,3,0,2,1,0
9449,Azerbaijan,,2020-08-05,0,0,0,1,1,0,0,3,0,2,0,3
9450,Bahamas,,2020-08-01,1,2,1,0,1,1,1,2,0,1,0,1
9451,Bahamas,,2020-08-02,2,0,1,3,0,2,1,3,0,0,1,0
9452,Bahamas,,2020-08-03,2,2,0,0,0,2,1,1,0,1,0,2
9453,Bahamas,,2020-08-04,1,1,1,3,0,0,0,1,1,0,1,2
9454,Bahamas,,2020-08-05,0,0,0,2,1,2,0,2,1,1,0,1
9455,Bahrain,,2020-08-01,1,0,0,0,1,1,0,0,0,0,1,1
9456,Bahrain,,2020-08-02,1,2,0,1,1,0,0,1,1,2,0,0
9457,Bahrain,,2020-08-03,2,0,0,1,0,2,1,3,1,0,0,3
9458,Bahrain,,2020-08-04,2,1,0,0,1,0,0,2,0,0,1,3
9459,Bahrain,,2020-08-05,1,1,0,1,1,2,1,0,1,1,0,1
9460,Bangladesh,,2020-08-01,0,1,1,3,0,2,1,0,0,1,0,3
9461,Bangladesh,,2020-08-02,0,2,1,3,0,1,1,1,1,0,1,0
9462,Bangladesh,,2020-08-03,1,1,1,2,0,1,1,2,1,0,0,3
9463,Bangladesh,,2020-08-04,2,1,0,1,1,0,1,2,1,2,1,2
9464,Bangladesh,,2020-08-05,0,1,0,1,0,0,0,3,0,1,1,3
9465,Barbados,,2020-08-01,1,1,0,1,1,2,1,1,0,0,1,2
9466,Barbados,,2020-08-02,1,2,0,0,1,2,1,2,1,1,0,2
9467,Barbados,,2020-08-03,2,0,1,1,1,1,0,1,0,1,1,1
9468,Barbados,,2020-08-04,1,2,0,2,0,2,1,1,1,0,0,1
9469,Barbados,,2020-08-05,1,2,1,3,0,2,1,2,1,1,1,3
9470,Belarus,,2020-08-01,2,0,1,3,0,1,0,0,0,0,1,0
9471,Belarus,,2020-08-02,2,0,0,2,1,0,0,0,1,2,1,1
9472,Belarus,,2020-08-03,2,1,1,0,1,2,1,2,1,0,0,2
9473,Belarus,,2020-08-04,1,0,1,2,0,0,0,0,1,0,0,2
9474,Belarus,,2020-08-05,0,1,0,1,1,0,0,0,1,0,1,1
9475,Belgium,,2020-08-01,0,2,1,3,0,1,0,2,1,2,1,0
9476,Belgium,,2020-08-02,1,2,1,0,0,1,0,3,0,1,1,0
9477,Belgium,,2020-08-03,1,0,1,1,0,1,0,1,1,2,0,1
9478,Belgium,,2020-08-04,2,1,1,0,0,0,1,1,0,2,0,2
9479,Belgium,,2020-08-05,1,1,0,0,1,0,1,3,0,2,0,0
9480,Belize,,2020-08-01,1,2,0,3,1,2,1,0,1,0,0,1
9481,Belize,,2020-08-02,0,2,0,1,0,1,0,3,0,0,1,2
9482,Belize,,2020-08-03,1,2,1,0,0,2,1,2,1,2,1,1
9483,Belize,,2020-08-04,2,2,1,3,1,2,0,2,1,2,1,1
9484,Belize,,2020-08-05,1,2,0,2,1,1,1,1,1,2,1,3
9485,Benin,,2020-08-01,2,1,1,1,1,0,1,1,1,2,1,0
9486,Benin,,2020-08-02,1,2,1,1,1,2,0,2,1,0,0,2
9487,Benin,,2020-08-03,2,0,0,3,0,0,1,2,0,1,0,3
9488,Benin,,2020-08-04,1,2,0,2,0,1,1,1,0,2,1,0
9489,Benin,,2020-08-05,2,2,0,1,0,2,0,1,0,1,1,2
9490,Bermuda,,2020-08-01,0,0,0,2,0,1,0,1,1,1,1,1
9491,Bermuda,,2020-08-02,0,1,1,2,1,0,1,2,1,0,1,1
9492,Bermuda,,2020-08-03,2,2,1,3,0,1,0,0,1,1,0,3
9493,Bermuda,,2020-08-04,2,0,1,0,0,2,1,2,1,2,0,1
9494,Bermuda,,2020-08-05,0,2,0,1,1,2,0,1,1,1,1,0
9495,Bhutan,,2020-08-01,2,0,0,0,0,1,0,3,0,2,0,1
9496,Bhutan,,2020-08-02,0,0,0,1,0,0,0,2,1,0,1,2
9497,Bhutan,,2020-08-03,1,0,0,3,1,1,1,2,0,1,1,1
9498,Bhutan,,2020-08-04,0,1,1,3,0,1,0,2,1,1,1,0
9499,Bhutan,,2020-08-05,2,1,1,0,0,1,0,3,1,2,1,1
9500,Bolivia,,2020-08-01,2,1,1,2,0,0,1,0,0,1,1,3
9501,Bolivia,,2020-08-02,1,1,0,1,1,2,1,3,0,2,0,2
9502,Bolivia,,2020-08-03,2,0,1,0,1,1,1,3,0,1,0,2
9503,Bolivia,,2020-08-04,1,0,0,3,1,0,1,0,1,2,0,3
9504,Bolivia,,2020-08-05,2,2,1,2,1,2,0,3,1,2,1,0
9505,Bosnia and Herzegovina,,2020-08-01,0,1,1,2,1,0,0,1,1,1,1,2
9506,Bosnia and Herzegovina,,2020-08-02,0,2,1,2,1,0,1,0,0,0,0,0
9507,Bosnia and Herzegovina,,2020-08-03,2,0,1,2,0,2,1,1,0,2,1,0
9508,Bosnia and Herzegovina,,2020-08-04,0,1,1,0,0,0,0,2,0,0,1,2
9509,Bosnia and Herzegovina,,2020-08-05,2,0,1,3,1,1,0,0,1,0,1,1
9510,Botswana,,2020-08-01,1,1,0,3,0,2,0,1,1,0,1,1
9511,Botswana,,2020-08-02,2,2,0,1,0,1,1,3,1,0,0,1
9512,Botswana,,2020-08-03,1,1,0,0,1,0,1,0,0,2,1,2
9513,Botswana,,2020-08-04,0,2,0,1,1,1,1,3,0,2,0,3
9514,Botswana,,2020-08-05,2,0,1,1,1,2,1,0,1,1,0,3
9515,Brazil,,2020-08-01,1,0,1,2,1,0,0,3,1,1,1,3
9516,Brazil,,2020-08-02,2,0,1,3,0,2,0,3,1,1,0,0
9517,Brazil,,2020-08-03,1,1,0,0,1,0,0,0,1,1,0,3
9518,Brazil,,2020-08-04,2,2,1,0,0,2,1,2,1,2,0,2
9519,Brazil,,2020-08-05,1,1,0,1,0,1,0,3,1,1,0,0
9520,Brunei,,2020-08-01,1,2,1,3,0,0,0,2,1,2,1,3
9521,Brunei,,2020-08-02,1,2,0,1,0,0,0,0,0,1,1,1
9522,Brunei,,2020-08-03,0,1,1,3,1,1,0,3,1,0,0,1
9523,Brunei,,2020-08-04,1,2,0,3,0,0,1,1,0,2,1,3
9524,Brunei,,2020-08-05,1,0,0,2,1,1,1,2,1,0,0,1
9525,Bulgaria,,2020-08-01,1,1,0,3,0,2,0,2,1,2,1,3
9526,Bulgaria,,2020-08-02,1,2,0,2,1,2,0,1,0,0,1,1
9527,Bulgaria,,2020-08-03,2,1,1,1,0,2,1,2,0,0,1,1
9528,Bulgaria,,2020-08-04,0,2,1,3,0,1,1,3,0,0,0,3
9529,Bulgaria,,2020-08-05,1,0,1,3,1,0,1,0,0,1,1,0
9530,Burkina Faso,,2020-08-01,2,0,0,3,1,2,1,1,0,1,0,2
9531,Burkina Faso,,2020-08-02,1,2,1,1,1,0,1,2,0,0,0,1
9532,Burkina Faso,,2020-08-03,2,1,0,0,0,2,1,1,0,1,1,3
9533,Burkina Faso,,2020-08-04,2,2,1,3,1,0,0,1,0,2,0,3
9534,Burkina Faso,,2020-08-05,0,0,1,0,0,1,1,2,0,0,1,0
9535,Burundi,,2020-08-01,1,2,0,1,0,1,1,0,1,0,0,0
9536,Burundi,,2020-08-02,0,2,0,1,0,1,1,1,1,1,0,2
9537,Burundi,,2020-08-03,1,0,0,0,0,0,1,0,0,0,0,2
9538,Burundi,,2020-08-04,1,2,1,0,1,2,1,2,1,0,0,2
9539,Burundi,,2020-08-05,2,2,1,3,0,2,0,0,1,2,0,1
9540,Cambodia,,2020-08-01,2,1,1,0,1,2,1,3,1,1,1,1
9541,Cambodia,,2020-08-02,2,2,0,1,1,2,0,1,0,1,1,2
9542,Cambodia,,2020-08-03,0,1,0,3,1,1,0,3,0,0,0,0
9543,Cambodia,,2020-08-04,1,2,0,0,1,2,0,1,1,0,0,2
9544,Cambodia,,2020-08-05,0,0,1,2,0,0,1,3,1,1,0,3
9545,Cameroon,,2020-08-01,0,0,1,2,1,1,1,3,1,0,1,3
9546,Cameroon,,2020-08-02,2,2,0,0,1,0,0,2,1,0,0,2
9547,Cameroon,,2020-08-03,2,0,0,0,0,0,1,2,0,2,0,0
9548,Cameroon,,2020-08-04,1,1,0,0,1,2,1,0,1,0,0,1
9549,Cameroon,,2020-08-05,0,2,0,2,1,1,0,3,1,0,1,2
9550,Canada,,2020-08-01,1,2,1,2,0,1,1,1,0,2,1,2
9551,Canada,,2020-08-02,0,2,1,1,1,1,1,2,0,1,1,1
9552,Canada,,2020-08-03,1,0,0,3,0,2,1,3,1,2,1,3
9553,Canada,,2020-08-04,1,2,1,2,1,1,0,2,1,2,1,2
9554,Canada,,2020-08-05,0,0,1,0,0,1,1,0,0,2,0,3
9555,Cape Verde,,2020-08-01,0,1,1,0,1,1,0,0,1,2,0,3
9556,Cape Verde,,2020-08-02,2,0,0,2,0,2,1,0,1,2,1,2
9557,Cape Verde,,2020-08-03,0,2,0,1,1,2,1,0,0,1,0,3
9558,Cape Verde,,2020-08-04,0,0,1,0,0,0,0,2,0,2,1,3
9559,Cape Verde,,2020-08-05,2,0,0,3,1,2,1,1,0,0,1,3
9560,Central African Republic,,2020-08-01,2,2,0,3,1,0,0,0,1,2,0,0
9561,Central African Republic,,2020-08-02,0,1,1,3,0,2,0,3,0,0,0,1
9562,Central African Republic,,2020-08-03,0,0,0,0,1,1,1,1,0,0,1,3
9563,Central African Republic,,2020-08-04,2,1,1,2,1,0,1,1,1,0,1,3
9564,Central African Republic,,2020-08-05,1,0,1,0,1,0,1,0,0,1,0,3
9565,Chad,,2020-08-01,1,2,0,1,0,0,0,3,1,1,0,2
9566,Chad,,2020-08-02,1,0,0,0,0,1,0,0,0,0,0,2
9567,Chad,,2020-08-03,2,2,0,2,1,2,1,0,0,2,1,3
9568,Chad,,2020-08-04,0,2,1,3,1,2,1,2,1,2,1,2
9569,Chad,,2020-08-05,0,1,0,0,1,2,0,1,1,2,1,0
9570,Chile,,2020-08-01,1,1,0,0,0,2,0,3,0,2,0,2
9571,Chile,,2020-08-02,2,0,0,1,0,2,0,3,1,0,0,3
9572,Chile,,2020-08-03,0,0,0,0,1,1,1,2,0,0,1,1
9573,Chile,,2020-08-04,2,1,1,3,1,1,1,0,1,0,1,3
9574,Chile,,2020-08-05,0,0,0,3,1,1,1,2,0,0,1,2
9575,China,,2020-08-01,0,1,1,3,1,2,0,0,0,1,0,1
9576,China,,2020-08-02,2,2,1,1,1,1,1,2,0,0,0,0
9577,China,,2020-08-03,0,1,1,3,0,0,0,3,1,1,1,2
9578,China,,2020-08-04,0,1,0,2,1,2,1,0,1,0,0,3
9579,China,,2020-08-05,1,1,0,0,0,1,0,1,1,1,0,2
9580,Colombia,,2020-08-01,2,0,0,1,0,1,1,3,0,0,1,3
9581,Colombia,,2020-08-02,0,2,0,1,1,2,1,0,1,0,1,1
9582,Colombia,,2020-08-03,1,2,1,0,1,1,1,3,1,1,0,1
9583,Colombia,,2020-08-04,2,2,1,3,1,2,0,1,1,2,0,1
9584,Colombia,,2020-08-05,1,2,1,1,0,0,1,1,1,0,1,3
9585,Comoros,,2020-08-01,2,1,1,0,0,2,0,1,0,0,0,0
9586,Comoros,,2020-08-02,2,0,1,3,1,1,1,3,1,1,1,0
9587,Comoros,,2020-08-03,2,0,1,2,1,2,0,0,0,0,1,0
9588,Comoros,,2020-08-04,1,0,0,0,1,0,1,0,1,2,0,1
9589,Comoros,,2020-08-05,2,2,0,0,0,2,0,2,1,2,1,1
9590,Congo,,2020-08-01,1,2,1,0,1,1,0,0,1,2,0,2
