,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
2350,Afghanistan,,2020-08-01,2,1,1,0,0,1,1,2,0,2,1,3
2351,Afghanistan,,2020-08-02,1,0,1,2,1,1,1,2,0,1,0,3
2352,Afghanistan,,2020-08-03,1,1,0,1,1,2,0,1,0,1,1,3
2353,Afghanistan,,2020-08-04,1,2,0,2,0,0,1,3,1,0,0,1
2354,Afghanistan,,2020-08-05,0,0,0,3,0,0,1,3,1,2,1,2
2355,Albania,,2020-08-01,1,0,1,1,1,1,1,0,1,2,0,1
2356,Albania,,2020-08-02,2,2,0,0,0,1,1,3,1,2,0,2
2357,Albania,,2020-08-03,0,0,1,0,1,2,0,3,0,2,1,1
2358,Albania,,2020-08-04,1,0,0,3,1,1,0,3,0,0,0,1
2359,Albania,,2020-08-05,1,1,1,3,1,2,0,2,1,2,1,2
2360,Algeria,,2020-08-01,1,1,1,0,0,1,0,0,1,0,1,2
2361,Algeria,,2020-08-02,0,0,0,3,1,2,1,3,0,2,0,2
2362,Algeria,,2020-08-03,1,1,0,3,0,2,0,1,1,1,0,2
2363,Algeria,,2020-08-04,0,0,0,1,0,2,1,3,0,0,0,1
2364,Algeria,,2020-08-05,0,1,1,2,1,1,1,3,1,1,0,2
2365,Andorra,,2020-08-01,0,2,0,0,0,2,1,1,0,1,1,1
2366,Andorra,,2020-08-02,2,2,1,1,0,0,0,0,1,2,1,3
2367,Andorra,,2020-08-03,1,1,0,1,1,1,1,1,0,2,1,1
2368,Andorra,,2020-08-04,2,2,0,1,0,2,0,0,0,2,1,1
2369,Andorra,,2020-08-05,2,1,1,0,1,0,1,0,1,0,0,3
2370,Angola,,2020-08-01,0,2,0,2,0,0,0,2,1,2,0,0
2371,Angola,,2020-08-02,0,2,1,0,1,1,0,0,1,0,0,2
2372,Angola,,2020-08-03,1,1,1,2,1,0,0,3,0,0,0,3
2373,Angola,,2020-08-04,1,2,0,1,1,1,1,2,1,0,1,3
2374,Angola,,2020-08-05,1,2,0,2,0,1,1,0,1,2,1,3
2375,Argentina,,2020-08-01,0,1,0,0,0,0,0,0,1,1,0,3
2376,Argentina,,2020-08-02,2,0,1,3,0,1,1,1,1,1,0,3
2377,Argentina,,2020-08-03,1,1,0,3,0,2,1,1,1,1,1,2
2378,Argentina,,2020-08-04,1,0,0,2,0,0,0,2,1,0,1,0
2379,Argentina,,2020-08-05,2,0,0,0,0,1,0,1,0,0,0,0
2380,Aruba,,2020-08-01,0,1,0,0,0,1,1,1,1,2,1,0
