,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings
5875,Afghanistan,,2020-08-01,2,1,1,1,1,1,1,0,0,2,1,3
5876,Afghanistan,,2020-08-02,1,2,0,3,0,1,0,3,1,2,0,3
5877,Afghanistan,,2020-08-03,1,0,1,1,1,2,1,3,0,0,0,0
5878,Afghanistan,,2020-08-04,2,0,1,3,1,0,0,2,0,2,1,0
5879,Afghanistan,,2020-08-05,1,1,0,0,1,2,0,0,0,1,0,0
5880,Albania,,2020-08-01,1,2,1,1,1,2,1,2,0,2,1,3
5881,Albania,,2020-08-02,1,1,1,1,0,1,0,2,1,2,1,1
5882,Albania,,2020-08-03,1,0,1,0,1,2,0,0,1,0,1,3
5883,Albania,,2020-08-04,0,0,1,3,1,0,0,3,1,0,0,2
5884,Albania,,2020-08-05,0,1,1,2,1,0,0,1,1,2,0,0
5885,Algeria,,2020-08-01,0,2,1,2,0,1,0,0,0,1,0,1
5886,Algeria,,2020-08-02,0,1,0,3,1,0,0,1,1,0,1,2
5887,Algeria,,2020-08-03,0,2,1,1,1,1,0,0,1,1,0,0
5888,Algeria,,2020-08-04,0,1,0,1,1,0,1,3,0,1,0,2
5889,Algeria,,2020-08-05,1,1,0,3,0,0,0,2,0,1,1,2
5890,Andorra,,2020-08-01,1,0,1,0,1,1,1,2,0,0,0,1
5891,Andorra,,2020-08-02,2,2,0,3,0,1,0,1,1,1,0,3
5892,Andorra,,2020-08-03,0,1,1,3,0,0,0,3,0,2,0,2
5893,Andorra,,2020-08-04,1,2,0,1,0,2,0,0,1,1,0,0
5894,Andorra,,2020-08-05,2,2,0,0,0,1,1,3,0,0,0,3
5895,Angola,,2020-08-01,2,2,1,3,0,2,0,0,0,2,0,2
5896,Angola,,2020-08-02,0,0,0,0,0,1,1,2,0,0,0,1
5897,Angola,,2020-08-03,1,2,0,3,0,0,1,1,1,0,1,3
5898,Angola,,2020-08-04,2,1,0,1,1,1,1,2,0,1,1,3
5899,Angola,,2020-08-05,1,1,0,2,0,1,1,1,0,1,1,2
5900,Argentina,,2020-08-01,0,2,0,2,1,0,1,3,1,0,0,1
5901,Argentina,,2020-08-02,0,1,1,0,0,0,0,2,1,0,0,2
5902,Argentina,,2020-08-03,2,2,1,1,1,0,1,2,0,0,0,1
5903,Argentina,,2020-08-04,0,2,0,0,0,0,0,2,1,1,0,1
5904,Argentina,,2020-08-05,0,2,0,0,0,0,1,1,1,2,0,3
5905,Aruba,,2020-08-01,0,0,1,2,0,0,1,2,0,0,1,0
5906,Aruba,,2020-08-02,2,0,0,2,1,1,0,2,0,2,0,2
5907,Aruba,,2020-08-03,1,1,0,2,1,0,1,0,0,0,0,2
5908,Aruba,,2020-08-04,1,2,0,1,1,0,0,2,1,2,0,0
5909,Aruba,,2020-08-05,1,2,1,2,1,0,1,1,1,1,1,3
5910,Australia,,2020-08-01,2,0,1,1,0,2,0,3,1,0,0,3
5911,Australia,,2020-08-02,1,0,1,1,0,0,0,0,0,1,0,2
5912,Australia,,2020-08-03,0,2,0,3,0,2,1,1,0,1,0,0
5913,Australia,,2020-08-04,1,0,1,0,0,0,1,2,1,1,0,3
5914,Australia,,2020-08-05,2,0,1,1,1,0,0,2,0,0,1,3
5915,Austria,,2020-08-01,1,1,0,3,1,2,0,1,0,1,0,0
5916,Austria,,2020-08-02,2,1,1,2,1,2,0,1,1,0,0,1
5917,Austria,,2020-08-03,1,1,1,3,0,0,0,1,0,2,1,0
5918,Austria,,2020-08-04,1,0,0,3,0,1,0,2,1,2,1,1
5919,Austria,,2020-08-05,0,2,1,1,0,1,1,3,1,0,0,3
5920,Azerbaijan,,2020-08-01,2,0,1,2,1,0,1,1,0,1,0,3
5921,Azerbaijan,,2020-08-02,2,1,1,2,0,1,0,0,0,1,0,2
5922,Azerbaijan,,2020-08-03,1,2,1,2,0,0,1,0,1,2,0,1
5923,Azerbaijan,,2020-08-04,2,2,0,3,0,0,1,1,0,1,1,0
5924,Azerbaijan,,2020-08-05,2,2,1,2,0,0,0,1,0,1,1,1
5925,Bahamas,,2020-08-01,1,1,1,3,0,0,0,1,1,1,1,2
5926,Bahamas,,2020-08-02,2,0,0,0,1,0,1,3,1,0,1,2
5927,Bahamas,,2020-08-03,0,0,0,3,1,2,0,0,0,2,1,1
5928,Bahamas,,2020-08-04,0,1,0,1,1,0,1,0,0,2,0,1
5929,Bahamas,,2020-08-05,0,2,0,2,0,1,0,3,1,2,1,0
5930,Bahrain,,2020-08-01,0,0,1,2,1,2,0,3,1,2,1,0
5931,Bahrain,,2020-08-02,0,1,1,1,1,1,0,2,1,2,0,2
5932,Bahrain,,2020-08-03,2,1,1,1,0,2,0,0,1,1,1,3
5933,Bahrain,,2020-08-04,2,2,1,1,0,2,1,2,1,2,1,0
5934,Bahrain,,2020-08-05,1,1,0,0,1,2,0,0,1,0,0,1
5935,Bangladesh,,2020-08-01,0,0,0,0,0,2,1,2,1,1,1,2
5936,Bangladesh,,2020-08-02,0,2,0,0,0,2,1,1,0,0,0,0
5937,Bangladesh,,2020-08-03,1,1,0,0,1,1,1,0,1,0,1,0
5938,Bangladesh,,2020-08-04,2,2,0,1,1,0,1,2,1,1,0,1
5939,Bangladesh,,2020-08-05,0,0,0,3,1,0,1,2,0,2,0,1
5940,Barbados,,2020-08-01,0,0,0,3,1,1,1,1,0,0,0,0
5941,Barbados,,2020-08-02,1,1,1,1,1,2,0,1,1,0,0,3
5942,Barbados,,2020-08-03,0,0,1,2,0,2,0,1,1,1,1,0
5943,Barbados,,2020-08-04,1,2,0,1,1,2,0,1,1,0,1,2
5944,Barbados,,2020-08-05,0,1,1,0,0,0,1,2,1,1,1,3
5945,Belarus,,2020-08-01,2,2,0,1,1,2,0,0,0,0,1,0
5946,Belarus,,2020-08-02,0,0,1,0,0,0,0,3,1,2,1,2
5947,Belarus,,2020-08-03,1,1,0,3,0,2,1,1,1,2,1,3
5948,Belarus,,2020-08-04,0,2,0,2,1,2,0,2,1,1,0,0
5949,Belarus,,2020-08-05,2,2,0,1,1,2,1,1,0,2,0,1
5950,Belgium,,2020-08-01,1,1,0,0,1,0,0,0,1,0,1,3
5951,Belgium,,2020-08-02,1,1,1,0,0,2,1,3,1,0,0,2
5952,Belgium,,2020-08-03,2,0,1,3,0,2,0,1,0,2,0,2
5953,Belgium,,2020-08-04,0,0,1,2,1,1,1,1,1,2,0,2
5954,Belgium,,2020-08-05,0,1,0,0,0,1,1,3,1,0,0,2
5955,Belize,,2020-08-01,1,0,0,0,0,1,1,3,1,0,0,0
5956,Belize,,2020-08-02,0,0,1,1,1,0,1,1,0,0,0,1
5957,Belize,,2020-08-03,1,0,1,2,0,2,0,1,1,2,0,0
5958,Belize,,2020-08-04,2,2,1,1,0,0,1,1,0,0,1,1
5959,Belize,,2020-08-05,1,2,0,3,0,0,0,1,0,2,1,0
5960,Benin,,2020-08-01,0,0,0,0,1,1,1,2,1,1,0,1
5961,Benin,,2020-08-02,0,2,1,1,0,1,1,1,1,2,0,3
5962,Benin,,2020-08-03,0,0,1,2,1,1,0,0,0,2,0,0
5963,Benin,,2020-08-04,2,2,0,1,1,1,1,0,1,1,0,0
5964,Benin,,2020-08-05,0,2,0,1,0,2,0,3,1,2,1,3
5965,Bermuda,,2020-08-01,2,0,0,3,0,1,1,2,1,2,1,2
5966,Bermuda,,2020-08-02,0,1,1,2,1,2,0,2,0,2,1,2
5967,Bermuda,,2020-08-03,1,2,1,0,0,1,0,0,1,0,1,0
5968,Bermuda,,2020-08-04,2,2,0,3,1,1,0,2,1,0,1,1
5969,Bermuda,,2020-08-05,1,0,0,0,0,0,0,3,1,1,1,3
5970,Bhutan,,2020-08-01,2,2,1,3,1,1,0,2,1,1,1,2
5971,Bhutan,,2020-08-02,1,0,1,3,0,0,0,2,1,1,0,3
5972,Bhutan,,2020-08-03,0,0,0,0,1,0,1,0,0,0,1,1
5973,Bhutan,,2020-08-04,2,0,1,0,1,1,1,1,1,1,1,3
5974,Bhutan,,2020-08-05,0,2,1,3,1,2,1,2,1,0,1,1
